i,name,OTMpa,OTMslitangle,OTMcass,OTMwait,OTMflag,OTMslewgo,OTMlast,OTMslew,OTMdead,OTMstart,OTMend,OTMexptime,OTMslitwidth,OTMSNR,OTMairmass_start,OTMairmass_end,OTMsky,OTMmoon
1,FOO,-71.18,0.16,-18.156385 deg,0.0,,None,None,0.0,0.0,2023-01-25T03:00:38.194,2023-01-25T03:15:38.194,900.0,1.0,0.0,1.03,1.02,21.4,0.0
2,ZTF20ackgfep,-63.56,-134.44,116.44431939436188 deg,0.0,,2023-01-25T03:15:43.194,ha,84.9,89.9,2023-01-25T03:17:08.092,2023-01-25T03:27:08.092,600.0,1.0,0.0,1.59,1.52,21.4,0.0
3,FOO1,-58.55,-180.0,162.0 deg,0.0,,2023-01-25T03:27:13.092,ha,52.94,57.94,2023-01-25T03:28:06.033,2023-01-25T03:43:06.033,900.0,1.0,0.0,2.94,2.56,21.4,0.0
4,FOO2,-81.69,0.0,-18.0 deg,0.0,,2023-01-25T03:43:11.033,DECL,98.0,103.0,2023-01-25T03:44:49.030,2023-01-25T03:59:49.030,900.0,1.0,0.0,1.88,1.82,21.4,0.0
5,FOO3,-54.61,0.0,-18.0 deg,50.0,ALT-0,2023-01-25T04:49:54.030,DECL,113.78,3118.78,2023-01-25T04:51:47.811,2023-01-25T05:06:47.811,900.0,1.0,0.0,3.51,2.98,21.4,0.0
6,ZTF22aaheakp,24.62,0.0,-18.0 deg,0.0,,2023-01-25T05:06:52.811,DECL,113.42,118.42,2023-01-25T05:08:46.231,2023-01-25T05:23:46.231,900.0,1.0,0.0,1.27,1.26,21.4,0.0
7,FOO4,-52.6,0.0,-18.0 deg,0.0,,2023-01-25T05:23:51.231,DECL,113.42,118.42,2023-01-25T05:25:44.651,2023-01-25T05:40:44.651,900.0,1.0,0.0,2.52,2.25,21.4,0.0
8,ZTF20ackgfep,38.03,0.0,-18.0 deg,0.0,,2023-01-25T05:40:49.651,DECL,89.75,94.75,2023-01-25T05:42:19.397,2023-01-25T05:52:19.397,600.0,1.0,0.0,1.08,1.07,21.4,0.0
8,ZTF20ackgfep,32.65,0.0,-18.0 deg,0.0,,2023-01-25T05:52:24.397,readout,4.0,20.0,2023-01-25T05:52:39.397,2023-01-25T06:02:39.397,600.0,1.0,0.0,1.07,1.07,21.4,0.0
9,ZTF22aakefcn,-64.7,0.0,-18.0 deg,0.0,,2023-01-25T06:02:44.397,ha,68.63,73.63,2023-01-25T06:03:53.027,2023-01-25T06:18:53.027,900.0,1.0,0.0,1.3,1.24,21.4,0.0
9,ZTF22aakefcn,-64.13,0.0,-18.0 deg,0.0,,2023-01-25T06:18:58.027,readout,4.0,20.0,2023-01-25T06:19:13.027,2023-01-25T06:34:13.027,900.0,1.0,0.0,1.24,1.2,21.4,0.0
9,ZTF22aakefcn,-63.24,0.0,-18.0 deg,0.0,,2023-01-25T06:34:18.027,readout,4.0,20.0,2023-01-25T06:34:33.027,2023-01-25T06:49:33.027,900.0,1.0,0.0,1.2,1.16,21.4,0.0
10,ZTF22aahqbgm,-33.1,0.0,-18.0 deg,0.0,,2023-01-25T06:49:38.027,DECL,80.29,85.29,2023-01-25T06:50:58.320,2023-01-25T07:00:58.320,600.0,1.0,0.0,2.46,2.34,21.4,0.0
10,ZTF22aahqbgm,-31.17,0.0,-18.0 deg,0.0,,2023-01-25T07:01:03.320,readout,4.0,20.0,2023-01-25T07:01:18.320,2023-01-25T07:11:18.320,600.0,1.0,0.0,2.33,2.25,21.4,0.0
10,ZTF22aahqbgm,-29.16,0.0,-18.0 deg,0.0,,2023-01-25T07:11:23.320,readout,4.0,20.0,2023-01-25T07:11:38.320,2023-01-25T07:21:38.320,600.0,1.0,0.0,2.25,2.17,21.4,0.0
11,ZTF22aagyuao,55.14,0.16,-18.15638 deg,0.0,,2023-01-25T07:21:43.320,DECL,123.44,128.44,2023-01-25T07:23:46.761,2023-01-25T07:33:46.761,600.0,1.0,0.0,1.16,1.15,21.4,0.0
12,ZTF22aahgvlx,-43.05,0.0,-18.0 deg,0.0,,2023-01-25T07:33:51.761,az,92.94,97.94,2023-01-25T07:35:24.699,2023-01-25T07:50:24.699,900.0,1.0,0.0,1.24,1.2,21.4,0.0
13,ZTF22aadksbz,-52.75,0.0,-18.0 deg,0.0,,2023-01-25T07:50:29.699,DECL,31.26,36.26,2023-01-25T07:51:00.954,2023-01-25T07:58:30.954,450.0,1.0,0.0,1.15,1.14,21.4,0.0
14,ZTF22aafkbop,-64.18,0.0,-18.0 deg,0.0,,2023-01-25T07:58:35.954,ha,39.98,44.98,2023-01-25T07:59:15.930,2023-01-25T08:09:15.930,600.0,1.0,0.0,1.2,1.18,21.4,0.0
15,ZTF21achakto,-76.16,0.0,-18.0 deg,0.0,,2023-01-25T08:09:20.930,DECL,30.68,35.68,2023-01-25T08:09:51.610,2023-01-25T08:24:51.610,900.0,1.0,0.0,1.17,1.13,21.4,0.0
16,ZTF22aaimgkp,-57.55,0.0,-18.0 deg,0.0,,2023-01-25T08:24:56.610,ha,45.58,50.58,2023-01-25T08:25:42.187,2023-01-25T08:35:42.187,600.0,1.0,0.0,1.45,1.4,21.4,0.0
17,ZTF22aahdxdt,-48.73,0.0,-18.0 deg,0.0,,2023-01-25T08:35:47.187,DECL,35.03,40.03,2023-01-25T08:36:22.213,2023-01-25T08:51:22.213,900.0,1.0,0.0,1.62,1.52,21.4,0.0
18,ZTF18aaqkywr,78.23,0.0,-18.0 deg,0.0,,2023-01-25T08:51:27.213,DECL,83.24,88.24,2023-01-25T08:52:50.455,2023-01-25T09:02:50.455,600.0,1.0,0.0,1.26,1.23,21.4,0.0
19,ZTF22aafffpq,-42.32,0.0,-18.0 deg,0.0,,2023-01-25T09:02:55.455,DECL,100.24,105.24,2023-01-25T09:04:35.696,2023-01-25T09:14:35.696,600.0,1.0,0.0,2.01,1.92,21.4,0.0
19,ZTF22aafffpq,-40.75,0.0,-18.0 deg,0.0,,2023-01-25T09:14:40.696,readout,4.0,20.0,2023-01-25T09:14:55.696,2023-01-25T09:24:55.696,600.0,1.0,0.0,1.92,1.84,21.4,0.0
20,ZTF22aahxllh,-70.63,0.0,-18.0 deg,0.0,,2023-01-25T09:25:00.696,DECL,69.14,74.14,2023-01-25T09:26:09.833,2023-01-25T09:33:39.833,450.0,1.0,0.0,1.22,1.2,21.4,0.0
21,ZTF22aajhlaj,48.42,0.0,-18.0 deg,0.0,,2023-01-25T09:33:44.833,DECL,78.52,83.52,2023-01-25T09:35:03.355,2023-01-25T09:42:33.355,450.0,1.0,0.0,1.37,1.36,21.4,0.0
22,ZTF22aagcyuo,89.16,0.0,-18.0 deg,0.0,,2023-01-25T09:42:38.355,DECL,60.9,65.9,2023-01-25T09:43:39.251,2023-01-25T09:58:39.251,900.0,1.0,0.0,1.2,1.16,21.4,0.0
23,ZTF22aaipujm,-43.32,0.0,-18.0 deg,0.0,,2023-01-25T09:58:44.251,DECL,72.99,77.99,2023-01-25T09:59:57.239,2023-01-25T10:14:57.239,900.0,1.0,0.0,1.5,1.44,21.4,0.0
24,ZTF22aagzmcz,-66.75,0.0,-18.0 deg,0.0,,2023-01-25T10:15:02.239,DECL,52.17,57.17,2023-01-25T10:15:54.407,2023-01-25T10:25:54.407,600.0,1.0,0.0,1.17,1.15,21.4,0.0
25,ZTF22aagzplj,-57.79,0.0,-18.0 deg,0.0,,2023-01-25T10:25:59.407,DECL,28.09,33.09,2023-01-25T10:26:27.493,2023-01-25T10:36:27.493,600.0,1.0,0.0,1.19,1.17,21.4,0.0
26,ZTF22aakgnmo,51.96,0.0,-18.0 deg,0.0,,2023-01-25T10:36:32.493,az,87.69,92.69,2023-01-25T10:38:00.179,2023-01-25T10:48:00.179,600.0,1.0,0.0,1.29,1.27,21.4,0.0
27,ZTF22aajhsbn,-30.25,0.0,-18.0 deg,0.0,,2023-01-25T10:48:05.179,DECL,139.37,144.37,2023-01-25T10:50:24.549,2023-01-25T11:05:24.549,900.0,1.0,0.0,2.51,2.34,21.4,0.0
28,ZTF22aahhrks,-49.2,0.0,-18.0 deg,0.0,,2023-01-25T11:05:29.549,DECL,71.31,76.31,2023-01-25T11:06:40.858,2023-01-25T11:21:40.858,900.0,1.0,0.0,1.21,1.18,21.4,0.0
28,ZTF22aahhrks,-46.04,0.0,-18.0 deg,0.0,,2023-01-25T11:21:45.858,readout,4.0,20.0,2023-01-25T11:22:00.858,2023-01-25T11:37:00.858,900.0,1.0,0.0,1.18,1.15,21.4,0.0
29,ZTF22aahfjwz,-37.64,0.0,-18.0 deg,0.0,,2023-01-25T11:37:05.858,DECL,34.76,39.76,2023-01-25T11:37:40.614,2023-01-25T11:47:40.614,600.0,1.0,0.0,1.32,1.29,21.4,0.0
30,ZTF22aaezyos,71.51,0.0,-18.0 deg,0.0,,2023-01-25T11:47:45.614,az,83.13,88.13,2023-01-25T11:49:08.740,2023-01-25T11:59:08.740,600.0,1.0,0.0,1.1,1.08,21.4,0.0
31,ZTF22aahwwhp,73.81,0.0,-18.0 deg,0.0,,2023-01-25T11:59:13.740,ha,23.18,28.18,2023-01-25T11:59:36.917,2023-01-25T12:09:36.917,600.0,1.0,0.0,1.09,1.07,21.4,0.0
32,ZTF22aajipum,-24.74,0.0,-18.0 deg,0.0,,2023-01-25T12:09:41.917,DECL,107.98,112.98,2023-01-25T12:11:29.899,2023-01-25T12:18:59.899,450.0,1.0,0.0,2.15,2.1,21.4,0.0
33,ZTF22aagzmwq,-75.43,0.0,-18.0 deg,0.0,,2023-01-25T12:19:04.899,DECL,91.72,96.72,2023-01-25T12:20:36.620,2023-01-25T12:30:36.620,600.0,1.0,0.0,1.13,1.11,21.4,0.0
34,ZTF22aahbdyl,-68.83,0.0,-18.0 deg,0.0,,2023-01-25T12:30:41.620,ha,27.63,32.63,2023-01-25T12:31:09.253,2023-01-25T12:41:09.253,600.0,1.0,0.0,1.15,1.12,21.4,0.0
35,ZTF18aazjflo,88.41,0.0,-18.0 deg,0.0,,2023-01-25T12:41:14.253,az,39.0,44.0,2023-01-25T12:41:53.257,2023-01-25T12:51:53.257,600.0,1.0,0.0,1.13,1.11,21.4,0.0
35,ZTF18aazjflo,86.61,0.0,-18.0 deg,0.0,,2023-01-25T12:51:58.257,readout,4.0,20.0,2023-01-25T12:52:13.257,2023-01-25T13:02:13.257,600.0,1.0,0.0,1.11,1.09,21.4,0.0
36,ZTF22aaknmbw,64.13,0.0,-18.0 deg,0.0,,2023-01-25T13:02:18.257,DECL,45.74,50.74,2023-01-25T13:03:04.002,2023-01-25T13:13:04.002,600.0,1.0,0.0,1.25,1.25,21.4,0.0
