# Based on MODELS of NGPS spectrograph optics: dichroics, collimator, gratings, camera",
# Does NOT include losses from slit and slicer,
Wavelength (nm),G
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0.027976472
418,0.056740609
419,0.109199322
420,0.174949179
421,0.219993355
422,0.238836142
423,0.250608037
424,0.266397095
425,0.28734428
426,0.309678353
427,0.328064244
428,0.338901546
429,0.342373982
430,0.341643664
431,0.340671522
432,0.343262181
433,0.355151612
434,0.392595286
435,0.511252471
436,0.674340149
437,0.70594771
438,0.690929653
439,0.692279977
440,0.703894335
441,0.714000388
442,0.717988517
443,0.71861268
444,0.720467254
445,0.725806996
446,0.733925951
447,0.742357523
448,0.74854023
449,0.751205252
450,0.750839164
451,0.749842831
452,0.749061678
453,0.749508371
454,0.751766531
455,0.755940297
456,0.761687646
457,0.768316146
458,0.774942404
459,0.780701445
460,0.7849609
461,0.787466404
462,0.788365295
463,0.788115525
464,0.787328757
465,0.786615016
466,0.78647151
467,0.787222272
468,0.788996286
469,0.791728854
470,0.795193885
471,0.799045834
472,0.802816526
473,0.806151186
474,0.808857357
475,0.810830562
476,0.812124511
477,0.812917009
478,0.813454076
479,0.813989756
480,0.814792812
481,0.816161373
482,0.818082916
483,0.820492171
484,0.823302603
485,0.826355358
486,0.829437812
487,0.832315756
488,0.834768985
489,0.836624747
490,0.837784581
491,0.838238837
492,0.838064542
493,0.837408658
494,0.836459339
495,0.835411738
496,0.834430124
497,0.833599035
498,0.832845097
499,0.832123461
500,0.832667051
501,0.83431499
502,0.835879928
503,0.83728082
504,0.838484629
505,0.839390193
506,0.839884521
507,0.83987871
508,0.839328558
509,0.838244476
510,0.836694098
511,0.834793811
512,0.832692229
513,0.830549128
514,0.828506691
515,0.826632921
516,0.824964023
517,0.823444915
518,0.821192059
519,0.815654942
520,0.798109292
521,0.793223628
522,0.813294307
523,0.821870242
524,0.825841262
525,0.828131992
526,0.829534968
527,0.830278912
528,0.830430823
529,0.83001405
530,0.829048464
531,0.827563009
532,0.825593263
533,0.823156284
534,0.819936172
535,0.815733956
536,0.813597669
537,0.809618146
538,0.804819835
539,0.798931341
540,0.791725075
541,0.783739588
542,0.777112902
543,0.774311524
544,0.775126323
545,0.777331342
546,0.779288889
547,0.780432306
548,0.780717467
549,0.780232163
550,0.77905228
551,0.777225803
552,0.774765877
553,0.771654542
554,0.767840453
555,0.76323056
556,0.757606364
557,0.750587714
558,0.742037654
559,0.731417517
560,0.717929135
561,0.700424398
562,0.677344521
563,0.64681759
564,0.607201126
565,0.55844546
566,0.504138562
567,0.452712661
568,0.415379925
569,0.397592669
570,0.394531354
571,0.398729638
572,0.404605887
573,0.40896374
574,0.410386809
575,0.408522629
576,0.400086125
577,0.393213276
578,0.3844371
579,0.374382339
580,0.363543925
581,0.352099993
582,0.339694738
583,0.325148564
584,0.306079115
585,0.278483456
586,0.236846101
587,0.176920454
588,0.104294187
589,0.041322877
590,0.009916995
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0