x, y
300,0
743.96007,0
748.50343,0.00141
750.82587,0.01305
753.60862,0.03459
758.27158,0.09927
761.85676,0.13199
766.03993,0.2039
768.93811,0.24398
774.26582,0.2909
777.34479,0.30952
779.92451,0.30405
782.5821,0.33607
785.22996,0.38649
788.77342,0.50852
789.58001,0.54617
792.99553,0.5967
797.34558,0.62497
806.28767,0.64793
812.27178,0.64454
815.42724,0.6342
826.72653,0.64952
841.53313,0.68651
858.91666,0.70297
869.15069,0.70823
886.77481,0.71827
892.09556,0.71167
895.48743,0.66583
904.96354,0.6761
907.11215,0.64376
918.8801,0.64672
927.0448,0.61031
929.84981,0.53621
933.83967,0.43849
951.18148,0.4718
970.09337,0.45913
973.49776,0.4145
984.4925,0.39414
996.50661,0.29391
1004.6268,0.23916
1016.5074,0.14171
1030.11106,0.04339
1034.97844,0.02443
1039.40638,0.03266
1042.31568,0
1045.57405,0
1200,0